col_A,col_B,col_C
zur Inhaltsübersicht,,
"Deutschlandatlas_GEM1224_b: Indikatoren auf Gemeindeebene, Gebietsstand zum 31.12.2024 ",,
GKZ1224,Gemeindename,"Indikatorkürzel: bev_dicht

Einwohner/-innen je km² im Jahr 2024"
1053080,Langenlehsten,7.87
1053081,Lankau,23.85
1053082,Lanze,30.2
1053083,"Lauenburg/ Elbe, Stadt",1219.35
1053084,Lehmrade,55.26
1053085,Linau,126.81
1053086,Lüchow,66.38
1053087,Lütau,58.19
1053088,Mechow,30.47
1053089,Möhnsen,72.16
1053090,"Mölln, Stadt",783.51
1053091,Mühlenrade,57.49
1053092,Müssen,107.94
1053093,Mustin,62.29
1053094,Niendorf bei Berkenthin,46.12
1053095,Niendorf/ Stecknitz,79.07
1053096,Nusse,185.37
1053097,Panten,47.65
1053098,Pogeez,115.3
1053099,Poggensee,68.38
1053100,"Ratzeburg, Stadt",496.07
1053101,Ritzerau,26.37
1053102,Römnitz,11.65
1053103,Rondeshagen,84.44
1053104,Roseburg,33.25
1053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",-9999
1053106,Sahms,76.43
1053107,Salem,27.61
1053108,Sandesneben,303.26
1053109,Schiphorst,84.05
1053110,Schmilau,49
1053111,Schnakenbek,69.66
1053112,Schönberg,97.36
1053113,Schretstaken,59.62
1053114,Schürensöhlen,59.64
1053115,Schulendorf,41.48
1053116,"Schwarzenbek, Stadt",1459.14
1053117,Seedorf,20.62
1053118,Siebenbäumen,67.01
1053119,Siebeneichen,63.03
1053120,Sierksrade,105.5
1053121,Sirksfelde,40.37
1053122,Steinhorst,35.6
1053123,Sterley,43.24
1053124,Stubben,72.8
1053125,Talkau,114.14
1053126,Tramm,50.89
1053127,Walksfelde,64.67
1053128,Wangelau,32.21
1053129,Wentorf bei Hamburg,1952.55
1053130,Wentorf (Amt Sandesneben),145.29
1053131,Wiershop,42.52
1053132,Witzeeze,89.96
1053133,Wohltorf,431.32
1053134,Woltersdorf,43.54
1053135,Worth,27.84
1053136,Ziethen,104.57
1054001,Achtrup,52.44
1054002,Ahrenshöft,63.59
1054003,Ahrenviöl,52.23
1054004,Ahrenviölfeld,31
1054005,Alkersum,44.54
1054006,Almdorf,95.61
1054007,Arlewatt,62.48
