ags,stadt,cluster,ev_anteil_pct,ladepunkte_pro_1000ew,einkommen_eur,bev_dichte,ladepunkte_gesamt,einwohner
05170024,Moers,2,5.9,4.275735692541107,31565.3570471956,1501,434.0,101503
05117000,Mülheim an der Ruhr,2,6.6,1.5082346142733314,34525.0361627032,1896,261.0,173050
05515000,Münster,2,8.9,2.4719553101622664,37231.022753747,1016,762.0,308258
05162024,Neuss,2,7.7,2.540225639430523,39467.3259198285,1551,392.0,154317
09564000,Nürnberg,2,7.2,2.9291342151582223,35017.7787436685,2840,1551.0,529508
06413000,Offenbach am Main,2,7.2,0.9115152245642052,28961.7073351628,2958,121.0,132746
03403000,Oldenburg,2,8.9,1.4041921931443715,34596.60968169,1713,248.0,176614
03404000,Osnabrück,2,8.5,3.4024461480094184,35395.362610147,1386,565.0,166057
05774032,Paderborn,2,8.3,3.9391730294542713,33258.8443602402,871,616.0,156378
08415061,Reutlingen,2,7.2,2.515733853868677,37003.6082826488,1365,299.0,118852
05122000,Solingen,2,6.9,1.811309818506756,33861.6708257291,1850,300.0,165626
09663000,Würzburg,2,7.9,3.647060589232917,37020.2533820727,1521,486.0,133258
09161000,Ingolstadt,3,15.5,10.6951871657754,39081.464540584,1059,1510.0,141185
03103000,Wolfsburg,3,20.3,7.965421426366163,35022.1232297862,633,1032.0,129560
