ags,stadt,ev_anteil_pct,ladepunkte_pro_1000ew,einkommen_eur,bev_dichte,ladepunkte_gesamt,einwohner
02000000,Hamburg,9.3,2.7215157591815586,39478.4190125824,2467,5069.0,1862565
05915000,Hamm,5.5,2.2892958748221908,25956.9259699676,794,412.0,179968
03241001,Hannover,8.0,3.610205101784801,33500.9644628605,2556,1885.0,522131
08221000,Heidelberg,8.2,4.513469786075657,41613.6935252772,1431,703.0,155756
08121000,Heilbronn,6.4,6.455230100162138,48589.5645982634,1321,852.0,131986
05916000,Herne,4.3,1.199863972640535,23999.6701177426,3031,187.0,155851
09161000,Ingolstadt,15.5,10.695187165775401,39081.464540584,1059,1510.0,141185
16053000,Jena,5.7,2.560947824105719,30503.0,956,281.0,109725
08212000,Karlsruhe,8.9,1.8637760880116487,37116.333048853,1782,576.0,309050
06611000,Kassel,7.7,3.2348020078081428,29395.8130548558,1847,638.0,197230
01002000,Kiel,6.5,2.2796713473807526,30463.2272095693,2130,576.0,252668
07111000,Koblenz,8.9,3.316340030693785,32647.9359489257,1077,376.0,113378
05114000,Krefeld,6.0,1.1451734181481896,31937.8348097055,1680,265.0,231406
05315000,Köln,9.1,2.5531391607238185,38222.2942439499,2530,2616.0,1024621
14713000,Leipzig,5.6,2.129606929803056,27909.4298405301,2055,1303.0,611850
05316000,Leverkusen,7.4,1.8863335725852854,32581.3609022104,2137,318.0,168581
07314000,Ludwigshafen am Rhein,6.4,1.297807269977768,28336.701143914,2289,230.0,177222
01003000,Lübeck,6.4,3.250510629861358,29849.7964038981,1013,705.0,216889
15003000,Magdeburg,5.1,2.201949011374008,26152.9795026237,1211,538.0,244329
07315000,Mainz,7.9,2.425628883231561,36510.4569297173,2299,545.0,224684
08222000,Mannheim,8.1,2.2418916157026745,34790.6462671086,2194,713.0,318035
05170024,Moers,5.9,4.275735692541107,31565.3570471956,1501,434.0,101503
05116000,Mönchengladbach,6.1,2.7655840097600044,29324.8035012504,1568,739.0,267213
05117000,Mülheim an der Ruhr,6.6,1.5082346142733314,34525.0361627032,1896,261.0,173050
09162000,München,12.2,2.490357174893107,55892.1342962152,4844,3748.0,1505005
05515000,Münster,8.9,2.4719553101622664,37231.022753747,1016,762.0,308258
05162024,Neuss,7.7,2.540225639430523,39467.3259198285,1551,392.0,154317
09564000,Nürnberg,7.2,2.9291342151582223,35017.7787436685,2840,1551.0,529508
05119000,Oberhausen,5.2,3.0798610786066667,26037.5802277187,2771,658.0,213646
06413000,Offenbach am Main,7.2,0.9115152245642053,28961.7073351628,2958,121.0,132746
03403000,Oldenburg,8.9,1.4041921931443715,34596.60968169,1713,248.0,176614
03404000,Osnabrück,8.5,3.4024461480094184,35395.362610147,1386,565.0,166057
05774032,Paderborn,8.3,3.9391730294542713,33258.8443602402,871,616.0,156378
08231000,Pforzheim,6.8,2.453451138519924,31799.4954096293,1377,331.0,134912
12054000,Potsdam,6.2,1.3639758814423504,34457.4784777536,981,252.0,184754
09362000,Regensburg,9.2,7.351921209599112,39561.5383644465,1872,1113.0,151389
05120000,Remscheid,6.2,1.906385072214218,30729.2361160366,1527,217.0,113828
08415061,Reutlingen,7.2,2.515733853868677,37003.6082826488,1365,299.0,118852
13003000,Rostock,4.7,1.6268320125470637,25833.0417668926,1132,334.0,205307
10041100,Saarbrücken,6.6,1.3444753540178498,28302.7879796646,1092,246.0,182971
03102000,Salzgitter,4.7,3.162808421453749,25481.1725862168,468,332.0,104970
13004000,Schwerin,4.8,1.658054278390365,25755.3843814929,753,163.0,98308
05122000,Solingen,6.9,1.8113098185067562,33861.6708257291,1850,300.0,165626
08111000,Stuttgart,13.7,6.914078375877114,42867.3147234177,2955,4236.0,612663
07211000,Trier,6.8,1.7921833969063272,33118.7025412125,891,187.0,104342
08421000,Ulm,8.4,4.619577770591768,42397.6513307838,1094,600.0,129882
06414000,Wiesbaden,13.2,4.154405400727021,43088.7750041329,1417,1200.0,288850
03103000,Wolfsburg,20.3,7.965421426366163,35022.1232297862,633,1032.0,129560
05124000,Wuppertal,6.3,1.2004701376073792,29717.4922751576,2127,430.0,358193
09663000,Würzburg,7.9,3.6470605892329164,37020.2533820727,1521,486.0,133258
