ID,Amtlicher Regionalschlüssel,Stadtname,Postleitzahl,Fläche,Bevölkerung,Bevölkerungsdichte
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
398,051580008008,"Haan, Stadt",42781,24.19,30086,1244
399,057540032032,"Rietberg, Stadt",33397,110.31,30055,272
400,071370003003,"Andernach, Stadt",56626,53.34,30039,563
401,059540012012,"Gevelsberg, Stadt",58285,26.34,30006,1139
402,097710130130,"Friedberg, St",86316,81.25,29953,369
403,093760161161,"Schwandorf, GKSt",92421,123.8,29877,241
404,081195006085,"Winnenden, Stadt",71364,28.05,29876,1065
405,031550013013,"Einbeck, Stadt",37574,231.92,29751,128
406,033560007007,"Osterholz-Scharmbeck, Stadt",27711,147.17,29710,202
407,059580032032,"Meschede, Kreis- und  Hochschulstadt",59872,218.52,29615,136
408,059740052052,"Werl, Stadt",59457,76.35,29600,388
409,082160015015,"Gaggenau, Stadt",76571,65.01,29529,454
410,120720240240,"Ludwigsfelde, Stadt",14974,109.99,29514,268
411,083165003011,"Emmendingen, Stadt",79312,33.78,29502,873
412,059540008008,"Ennepetal, Stadt der Kluterthöhle",58256,57.77,29446,510
413,146270230230,"Riesa, Stadt",01589,58.91,29373,499
414,064320008008,"Griesheim, Stadt",64347,21.55,29309,1360
415,091810130130,"Landsberg am Lech, GKSt",86886,57.9,29257,505
416,051660028028,"Tönisvorst, Stadt",47918,44.34,29251,660
417,053340008008,"Baesweiler, Stadt",52499,27.84,29206,1049
418,064380008008,"Mühlheim am Main, Stadt",63165,20.67,29194,1412
419,053660028028,"Mechernich, Stadt",53894,136.48,29187,214
420,055620036036,"Waltrop, Stadt",45731,47.09,29177,620
421,160730077077,"Saalfeld/Saale, Stadt",07318,145.56,29086,200
422,130720043043,"Güstrow, Barlachstadt",18273,71.09,28959,407
423,081185008073,"Vaihingen an der Enz, Stadt",71665,73.4,28798,392
424,064380012012,"Rödermark, Stadt",63322,29.99,28753,959
425,146270140140,"Meißen, Stadt",01662,30.92,28753,930
426,053780028028,"Rösrath, Stadt",51503,38.8,28709,740
427,032410017017,"Springe, Stadt",31832,160.13,28669,179
428,160700004004,"Arnstadt, Stadt",99310,104.99,28615,273
429,082165002007,"Bühl, Stadt",77815,73.18,28608,391
430,053700012012,"Geilenkirchen, Stadt",52511,83.16,28494,343
431,091840149149,"Unterschleißheim, St",85716,14.93,28482,1908
432,064360005005,"Hattersheim am Main, Stadt",65795,15.8,28467,1802
433,084365007081,"Wangen im Allgäu, Stadt",88239,101.35,28412,280
434,150840590590,"Zeitz, Stadt",06712,87.74,28328,323
435,051540032032,"Kevelaer, Stadt",47623,100.64,28296,281
436,010620060060,"Reinbek, Stadt",21465,31.27,28274,904
437,034590014014,"Bramsche, Stadt",49565,183.39,28220,154
438,064360008008,"Kelkheim (Taunus), Stadt",65779,30.73,28175,917
439,057620020020,"Höxter, Stadt",37671,158.16,28166,178
440,053700040040,"Wegberg, Stadt",41844,84.34,28089,333
441,034600006006,"Lohne (Oldenburg), Stadt",49393,91.11,28089,308
442,053780016016,"Leichlingen (Rheinland), Blütenstadt",42799,37.26,28078,754
443,071310007007,"Bad Neuenahr-Ahrweiler, Stadt",53474,63.25,27961,442
444,059540024024,"Schwelm, Stadt",58332,20.5,27953,1364
445,066330003003,"Baunatal, Stadt",34225,38.27,27929,730
446,097720163163,"Königsbrunn, St",86343,18.48,27879,1509
447,064310011011,"Heppenheim (Bergstraße), Kreisstadt",64646,52.12,27864,535
448,081175004024,"Geislingen an der Steige, Stadt",73312,75.83,27791,366
449,084255005033,"Ehingen (Donau), Stadt",89584,178.33,27764,156
450,082265010098,"Wiesloch, Stadt",69168,30.24,27731,917
451,120640472472,"Strausberg, Stadt",15344,67.94,27719,408
452,120690616616,"Teltow, Stadt",14513,21.59,27682,1282
453,059580044044,"Sundern (Sauerland), Stadt",59846,193.27,27654,143
454,147290160160,"Grimma, Stadt",04668,218.23,27529,126
455,031550011011,"Northeim, Stadt",37154,145.85,27326,187
456,091790142142,"Olching, St",82140,29.92,27310,913
457,051700028028,"Neukirchen-Vluyn, Stadt",47506,43.5,27140,624
458,033610012012,"Verden (Aller), Stadt",27283,71.7,27121,378
459,081190091091,"Weinstadt, Stadt",71384,31.71,27074,854
460,120690656656,"Werder (Havel), Stadt",14542,117.12,27065,231
461,064400005005,"Butzbach, Friedrich-Ludwig-Weidig-Stadt",35510,106.6,27046,254
462,091860143143,"Pfaffenhofen a.d.Ilm, St",85276,92.63,26996,291
463,053820048048,"Rheinbach, Stadt",53359,69.72,26918,386
464,051700012012,"Hamminkeln, Stadt",46499,164.53,26873,163
465,082260041041,"Leimen, Stadt",69181,20.64,26873,1302
466,120650144144,"Hohen Neuendorf, Stadt",16540,48.56,26857,553
467,057700020020,"Lübbecke, Stadt",32312,65.04,26815,412
468,082365004040,"Mühlacker, Stadt",75417,54.32,26787,493
469,083175001001,"Achern, Stadt",77855,65.24,26733,410
470,120650136136,"Hennigsdorf, Stadt",16761,31.48,26677,847
471,053780024024,"Overath, Stadt",51491,68.88,26663,387
472,094770128128,"Kulmbach, GKSt",95311,92.77,26625,287
473,064320023023,"Weiterstadt, Stadt",64331,34.4,26583,773
474,081255008065,"Neckarsulm, Stadt",74172,24.94,26431,1060
475,057540036036,"Schloß Holte-Stukenbrock, Stadt",33758,67.52,26297,389
476,051580012012,"Heiligenhaus, Stadt",42579,27.52,26252,954
477,095730134134,"Zirndorf, St",90513,28.79,26243,912
478,081180081081,"Remseck am Neckar, Stadt",71686,22.82,26188,1148
479,095740138138,"Lauf a.d.Pegnitz, St",91207,59.86,26106,436
480,059540032032,"Wetter (Ruhr), Stadt",58300,31.55,26090,827
481,091730126126,"Geretsried, St",82538,24.6,25997,1057
482,059780032032,"Selm, Stadt",59379,60.41,25969,430
483,147300070070,"Delitzsch, Stadt",04509,85.92,25895,301
484,034610007007,"Nordenham, Stadt",26954,87.77,25889,295
485,064340002002,"Friedrichsdorf, Philipp-Reis-Stadt",61381,30.13,25871,859
486,097760116116,"Lindau (Bodensee), GKSt",88131,33.06,25845,782
487,057540044044,"Verl, Stadt",33415,71.37,25762,361
488,091830148148,"Waldkraiburg, St",84478,21.56,25737,1194
489,064390008008,"Idstein, Hochschulstadt",65510,79.76,25736,323
490,081265005066,"Öhringen, Stadt",74613,67.79,25673,379
491,082375003040,"Horb am Neckar, Stadt",72160,119.76,25651,214
492,150890015015,"Aschersleben, Stadt",06449,156.83,25647,164
493,032570031031,"Rinteln, Stadt",31737,109.02,25602,235
494,057700008008,"Espelkamp, Stadt",32339,84.21,25576,304
495,057540016016,"Harsewinkel, Die Mähdrescherstadt",33428,100.59,25523,254
496,095760143143,"Roth, St",91154,96.33,25458,264
497,100460117117,"St. Wendel, Kreisstadt",66606,113.54,25441,224
498,057740036036,"Salzkotten, Stadt",33154,109.8,25429,232
499,059580012012,"Brilon, Stadt",59929,229.16,25424,111
500,064320018018,"Pfungstadt, Stadt",64319,42.54,25415,597
501,150870370370,"Sangerhausen, Stadt",06526,208.46,25392,122
502,064330006006,"Groß-Gerau, Stadt",64521,54.47,25388,466
503,073390005005,"Bingen am Rhein, Stadt",55411,37.68,25384,674
504,010590075075,"Schleswig, Stadt",24837,24.3,25352,1043
505,057700028028,"Petershagen, Stadt",32469,211.94,25340,120
506,147290260260,"Markkleeberg, Stadt",04416,31.47,25331,805
507,053620004004,"Bedburg, Stadt",50181,80.42,25316,315
508,064380010010,"Obertshausen, Stadt",63179,13.62,25316,1859
509,146260610610,"Zittau, Stadt, Hochschulstadt",02763,66.75,25286,379
510,032510041041,"Syke, Stadt",28857,128.11,25270,197
511,055580024024,"Lüdinghausen, Stadt",59348,140.54,25265,180
512,082150109109,"Stutensee, Stadt",76297,45.68,25259,553
513,034520019019,"Norden, Stadt",26506,106.33,25178,237
514,053740048048,"Wiehl, Stadt",51674,53.26,25164,472
515,031540028028,"Helmstedt, Stadt",38350,66.74,25099,376
516,120630252252,"Rathenow, Stadt",14712,113.1,25087,222
517,053820008008,"Bad Honnef, Stadt",53604,48.14,25061,521
518,083375007126,"Waldshut-Tiengen, Stadt",79761,77.96,25019,321
519,160665050042,"Meiningen, Stadt",98617,123.03,25002,203
520,082355006085,"Calw, Stadt",75365,59.88,25001,418
521,081365003019,"Ellwangen (Jagst), Stadt",73479,127.38,25001,196
522,059740044044,"Warstein, Stadt",59581,158.05,24988,158
523,083255003049,"Rottweil, Stadt",78628,71.76,24985,348
524,084365005082,"Weingarten, Stadt",88250,12.16,24940,2051
525,053820032032,"Meckenheim, Stadt",53340,34.84,24925,715
526,160730076076,"Rudolstadt, Stadt",07407,135.17,24852,184
527,010620004004,"Bad Oldesloe, Stadt",23843,52.59,24846,472
528,059580040040,"Schmallenberg, Stadt",57392,303.1,24711,82
529,034550026026,"Varel, Stadt",26316,113.75,24704,217
530,120670120120,"Eisenhüttenstadt, Stadt",15890,63.47,24703,389
531,059660024024,"Olpe, Stadt",57462,85.88,24695,288
532,091880139139,"Starnberg, St",82319,61.85,24471,396
533,082375002028,"Freudenstadt, Stadt",72250,87.54,24464,279
534,082255005058,"Mosbach, Stadt",74821,62.16,24459,393
535,059620052052,"Plettenberg, Stadt",58840,96.75,24429,252
536,034540018018,"Haren (Ems), Stadt",49733,208.79,24365,117
537,053700028028,"Übach-Palenberg, Stadt",52531,26.09,24277,931
538,059660020020,"Lennestadt, Stadt",57368,135.59,24238,179
539,095720132132,"Herzogenaurach, St",91074,47.62,24237,509
540,059540028028,"Sprockhövel, Stadt",45549,47.94,24232,505
541,084365004055,"Leutkirch im Allgäu, Stadt",88299,174.97,24226,138
542,150820180180,"Köthen (Anhalt), Stadt",06366,77.85,24110,310
543,010540056056,"Husum, Stadt",25813,25.8,24090,934
544,081285001007,"Bad Mergentheim, Stadt",97980,129.96,24023,185
545,034510007007,"Westerstede, Stadt",26655,179.55,23938,133
546,051620012012,"Jüchen, Stadt",41363,71.77,23926,333
547,082355007046,"Nagold, Stadt",72202,63.1,23864,378
548,145220080080,"Döbeln, Stadt",04720,91.75,23819,260
549,032410014014,"Ronnenberg, Stadt",30952,37.82,23814,630
550,145245114180,"Limbach-Oberfrohna, Stadt",09212,50.21,23673,471
551,097750152152,"Senden, St",89250,25.21,23641,938
552,059660004004,"Attendorn, Hansestadt",57439,97.92,23554,241
553,010600044044,"Kaltenkirchen, Stadt",24568,23.11,23502,1017
554,031590017017,"Hann. Münden, Stadt",34346,121.17,23478,194
555,120660304304,"Senftenberg/Zły Komorow, Stadt",01968,127.56,23466,184
556,032410016016,"Sehnde, Stadt",31319,103.58,23431,226
557,097720147147,"Gersthofen, St",86368,34.01,23427,689
558,064350010010,"Gelnhausen, Barbarossastadt, Kreisstadt",63571,45.15,23290,516
559,091900157157,"Weilheim i.OB, St",82362,55.5,23279,419
560,057620036036,"Warburg, Hansestadt",34414,168.84,23252,138
561,096720114114,"Bad Kissingen, GKSt",97688,69.92,23223,332
562,150890310310,"Staßfurt, Stadt",39418,147.18,23181,158
563,084155002050,"Metzingen, Stadt",72555,34.55,23178,671
564,064330011011,"Riedstadt, Büchnerstadt",64560,73.73,23146,314
565,150850235235,"Quedlinburg, Welterbestadt",06484,120.79,23139,192
566,033570039039,"Rotenburg (Wümme), Stadt",27356,99.06,23117,233
567,064360001001,"Bad Soden am Taunus, Stadt",65812,12.5,23103,1848
568,055540068068,"Vreden, Stadt",48691,135.83,23099,170
569,059700032032,"Netphen, Stadt",57250,137.39,23080,168
570,065320006006,"Dillenburg, Oranienstadt",35683,83.76,22974,274
571,150810455455,"Salzwedel, Hansestadt",29410,306.15,22964,75
572,096750141141,"Kitzingen, GKSt",97318,46.99,22936,488
573,097720184184,"Neusäß, St",86356,25.22,22904,908
574,066350015015,"Korbach, Hansestadt, Kreisstadt",34497,124.11,22901,185
575,081280131131,"Wertheim, Stadt",97877,138.59,22874,165
576,160720018018,"Sonneberg, Stadt",96515,84.69,22843,270
577,084265005070,"Laupheim, Stadt",88471,61.79,22839,370
578,160710001001,"Apolda, Stadt",99510,46.26,22787,493
579,059540020020,"Herdecke, Stadt",58313,22.39,22772,1017
580,084355007059,"Überlingen, Stadt",88662,58.64,22735,388
581,081255002006,"Bad Rappenau, Stadt",74906,73.56,22703,309
582,034530007007,"Friesoythe, Stadt",26169,247.5,22685,92
583,081255004026,"Eppingen, Stadt",75031,88.58,22666,256
584,081180011011,"Ditzingen, Stadt",71254,30.38,22666,746
585,032570035035,"Stadthagen, Stadt",31655,60.27,22638,376
586,064400012012,"Karben, Stadt",61184,43.94,22600,514
587,150860015015,"Burg, Stadt",39288,165.55,22585,136
588,160635051003,"Bad Salzungen, Stadt",36433,152.02,22557,148
589,055660040040,"Lengerich, Stadt",49525,90.79,22557,248
590,010560041041,"Quickborn, Stadt",25451,43.16,22521,522
591,033580021021,"Soltau, Stadt",29614,203.77,22511,110
592,150870130130,"Eisleben, Lutherstadt",06295,144.74,22505,155
593,091830128128,"Mühldorf a.Inn, St",84453,29.42,22503,765
594,082150106106,"Waghäusel, Stadt",68753,42.84,22466,524
595,064400004004,"Büdingen, Stadt",63654,122.88,22411,182
596,064360003003,"Eschborn, Stadt",65760,12.13,22403,1847
597,081175003019,"Eislingen/Fils, Stadt",73054,16.41,22325,1360
598,097710113113,"Aichach, St",86551,92.83,22015,237
599,010510044044,"Heide, Stadt",25746,31.97,22002,688
600,051540044044,"Rees, Stadt",46459,109.86,21913,199
601,150810135135,"Gardelegen, Hansestadt",39638,636.27,21822,34
602,083265001012,"Donaueschingen, Stadt",78166,104.69,21790,208
603,053660044044,"Zülpich, Stadt",53909,101.01,21780,216
604,082260084084,"Schwetzingen, Stadt",68723,21.5,21767,1012
605,083155001006,"Bad Krozingen, Stadt",79189,35.69,21755,610
606,084165002025,"Mössingen, Stadt",72116,50.03,21751,435
607,097800139139,"Sonthofen, St",87527,46.55,21734,467
608,073340007007,"Germersheim, Stadt",76726,21.68,21715,1002
609,082265004032,"Hockenheim, Stadt",68766,34.84,21623,621
610,053740052052,"Wipperfürth, Hansestadt",51688,118.3,21604,183
611,031590026026,"Osterode am Harz, Stadt",37520,102.54,21598,211
612,057740016016,"Büren, Stadt",33142,170.99,21593,126
613,053740036036,"Radevormwald, Stadt auf der Höhe",42477,53.86,21565,400
614,010580043043,"Eckernförde, Stadt",24340,21.58,21563,999
615,100440111111,"Dillingen/ Saar, Stadt",66763,22.05,21529,976
616,057540048048,"Versmold, Stadt",33775,85.57,21513,251
617,083165006056,"Waldkirch, Stadt",79183,48.47,21510,444
618,145240080080,"Glauchau, Stadt",08371,51.62,21442,415
619,065340018018,"Stadtallendorf, Stadt",35260,78.24,21425,274
620,053620016016,"Elsdorf, Stadt",50189,66.17,21424,324
621,097740135135,"Günzburg, GKSt",89312,55.4,21423,387
622,120720477477,"Zossen, Stadt",15806,180.38,21412,119
623,057540012012,"Halle (Westf.), Stadt",33790,69.7,21393,307
624,073380025025,"Schifferstadt, Stadt",67105,28.06,21387,762
625,064360004004,"Flörsheim am Main, Stadt",65439,22.99,21344,928
626,064380013013,"Seligenstadt, Einhardstadt",63500,30.85,21298,690
627,082150108108,"Rheinstetten, Stadt",76287,32.31,21267,658
628,064320010010,"Groß-Umstadt, Stadt",64823,86.84,21245,245
629,051700052052,"Xanten, Stadt",46509,72.43,21179,292
630,034580014014,"Wildeshausen, Stadt",27793,89.7,21155,236
631,120710372372,"Spremberg/Grodk, Stadt",03130,202.32,21140,104
632,150820430430,"Zerbst/Anhalt, Stadt",39261,470.91,21124,45
633,120720232232,"Luckenwalde, Stadt",14943,46.61,21010,451
634,034550015015,"Schortens, Stadt",26419,68.79,20995,305
635,055540056056,"Stadtlohn, Stadt",48703,79.25,20946,264
636,059740020020,"Geseke, Stadt",59590,97.89,20930,214
637,160650067067,"Sondershausen, Stadt",99706,201.21,20910,104
638,091890155155,"Traunstein, GKSt",83278,48.57,20877,430
639,091790145145,"Puchheim, St",82178,12.24,20858,1704
640,084365002009,"Bad Waldsee, Stadt",88339,108.55,20838,192
641,092790112112,"Dingolfing, St",84130,44,20749,472
642,051580036036,"Wülfrath, Stadt",42489,32.27,20731,642
643,057580008008,"Enger, Widukindstadt",32130,41.24,20688,502
644,083255005053,"Schramberg, Stadt",78713,80.7,20610,255
645,084355006057,"Tettnang, Stadt",88069,71.25,20520,288
646,145240300300,"Werdau, Stadt",08412,65.62,20520,313
647,064350006006,"Bruchköbel, Stadt",63486,29.88,20509,686
648,059780012012,"Fröndenberg/Ruhr, Stadt",58730,56.23,20504,365
649,094780139139,"Lichtenfels, St",96215,122.16,20488,168
650,146270010010,"Coswig, Stadt",01640,25.88,20479,791
651,065320012012,"Herborn, Stadt",35745,63.76,20421,320
652,055660068068,"Ochtrup, Stadt",48607,105.63,20394,193
653,032410004004,"Burgwedel, Stadt",30938,152.85,20379,133
654,091890154154,"Traunreut, St",83294,45.06,20379,452
655,031590010010,"Duderstadt, Stadt",37115,95.64,20375,213
656,097790194194,"Nördlingen, GKSt",86720,68.09,20352,299
657,083365007081,"Schopfheim, Stadt",79650,67.93,20332,299
658,130710156156,"Waren (Müritz), Stadt",17192,159.46,20260,127
659,100450112112,"Blieskastel, Stadt",66440,108.21,20197,187
660,130710110110,"Neustrelitz, Residenzstadt",17235,139.89,20191,144
661,055660016016,"Hörstel, Stadt",48477,107.54,20166,188
662,147290050050,"Borna, Stadt",04552,62.45,20131,322
663,064350021021,"Nidderau, Stadt",61130,46.73,20119,431
664,083155012074,"Müllheim im Markgräflerland, Stadt",79379,57.91,20097,347
665,055700044044,"Telgte, Stadt",48291,90.9,20069,221
666,034620019019,"Wittmund, Stadt",26409,210.16,20037,95
667,059620036036,"Meinerzhagen, Stadt",58540,115.69,20019,173
668,091780143143,"Moosburg a.d.Isar, St",85368,43.85,20012,456
669,147305311310,"Torgau, Stadt",04860,102.82,19992,194
670,097790131131,"Donauwörth, GKSt",86609,77.04,19990,259
671,081355001016,"Giengen an der Brenz, Stadt",89537,44.07,19967,453
672,160610115115,"Leinefelde-Worbis, Stadt",37327,115.79,19957,172
673,010550004004,"Bad Schwartau, Stadt",23611,18.39,19954,1085
674,010560044044,"Schenefeld, Stadt",22869,9.99,19909,1993
675,081255001005,"Bad Friedrichshall, Stadt",74177,24.71,19853,803
676,083175009089,"Oberkirch, Stadt",77704,69.1,19847,287
677,055700020020,"Ennigerloh, Stadt",59320,125.56,19841,158
678,091730112112,"Bad Tölz, St",83646,30.8,19826,644
679,084175004031,"Hechingen, Stadt",72379,66.41,19807,298
680,097730125125,"Dillingen a.d.Donau, GKSt",89407,75.59,19806,262
681,145235125340,"Reichenbach im Vogtland, Stadt",08468,34.47,19797,574
682,053740044044,"Waldbröl, Stadt",51545,63.32,19795,313
683,160760022022,"Greiz, Stadt",07973,84.86,19766,233
684,084150059059,"Pfullingen, Stadt",72793,30.14,19759,656
685,032520003003,"Bad Pyrmont, Stadt",31812,61.99,19722,318
686,053700036036,"Wassenberg, Stadt",41849,42.43,19713,465
687,071370068068,"Mayen, Stadt",56727,58.19,19713,339
688,120630208208,"Nauen, Stadt",14641,268.15,19679,73
689,055540048048,"Rhede, Stadt",46414,78.9,19674,249
690,091730147147,"Wolfratshausen, St",82515,9.13,19658,2153
691,081180080080,"Korntal-Münchingen, Stadt",70825,20.71,19654,949
692,010530090090,"Mölln, Stadt",23879,25.05,19627,784
693,091710112112,"Burghausen, St",84489,19.81,19558,987
694,059580024024,"Marsberg, Stadt",34431,182.22,19555,107
695,031530002002,"Bad Harzburg, Stadt",38667,65.52,19489,297
696,073310003003,"Alzey, Stadt",55232,35.22,19468,553
697,100440112112,"Lebach, Stadt",66822,64.21,19468,303
698,032540028028,"Sarstedt, Stadt",31157,43,19405,451
699,093710151151,"Sulzbach-Rosenberg, St",92237,53.12,19379,365
700,081150050050,"Weil der Stadt, Stadt",71263,43.17,19353,448
701,160660063063,"Schmalkalden, Stadt",98574,105.38,19323,183
702,064380005005,"Heusenstamm, Stadt",63150,19.03,19312,1015
703,053780008008,"Burscheid, Stadt",51399,27.33,19272,705
704,032570009009,"Bückeburg, Stadt",31675,68.9,19221,279
705,073320002002,"Bad Dürkheim, Stadt",67098,102.55,19159,187
706,150830270270,"Haldensleben, Stadt",39340,157.13,19121,122
707,091870150150,"Kolbermoor, St",83059,19.83,19094,963
708,057620004004,"Bad Driburg, Stadt",33014,115.3,19080,165
709,072310134134,"Wittlich, Stadt",54516,49.64,19049,384
710,033580019019,"Schneverdingen, Stadt",29640,234.92,19016,81
711,150850055055,"Blankenburg (Harz), Stadt",38889,149.21,18970,127
712,032410007007,"Hemmingen, Stadt",30966,31.73,18932,597
713,120730452452,"Prenzlau, Stadt",17291,142.97,18928,132
714,032550023023,"Holzminden, Stadt",37603,88.23,18921,214
715,147300270270,"Schkeuditz, Stadt",04435,81.47,18905,232
716,065320011011,"Haiger, Stadt",35708,106.73,18888,177
717,145210035035,"Aue-Bad Schlema, Stadt",08280,36.43,18868,518
718,150830415415,"Oschersleben (Bode), Stadt",39387,189.88,18859,99
719,010560049049,"Uetersen, Stadt",25436,11.43,18827,1647
720,145210020020,"Annaberg-Buchholz, Stadt",09456,28.15,18815,668
721,066360003003,"Eschwege, Kreisstadt",37269,63.26,18743,296
722,071410075075,"Lahnstein, Stadt",56112,37.62,18719,498
723,146250480480,"Radeberg, Stadt",01454,29.83,18683,626
724,010620018018,"Glinde, Stadt",21509,11.21,18681,1666
725,064340006006,"Kronberg im Taunus, Stadt",61476,18.58,18671,1005
726,031530012012,"Seesen, Stadt",38723,102.33,18657,182
727,081180076076,"Sachsenheim, Stadt",74343,57.92,18638,322
728,053740004004,"Bergneustadt, Stadt",51702,37.89,18628,492
729,097770151151,"Marktoberdorf, St",87616,95.15,18617,196
730,032520007007,"Hessisch Oldendorf, Stadt",31840,120.32,18567,154
731,081150041041,"Renningen, Stadt",71272,31.15,18567,596
732,033570008008,"Bremervörde, Stadt",27432,150.42,18564,123
733,160680051051,"Sömmerda, Stadt",99610,87.56,18503,211
734,091870117117,"Bad Aibling, St",83043,41.4,18497,447
735,097750129129,"Illertissen, St",89257,36.39,18433,507
736,064360006006,"Hochheim am Main, Stadt",65239,19.47,18422,946
737,066340022022,"Schwalmstadt, Konfirmationsstadt",34613,84.79,18420,217
738,059700004004,"Bad Berleburg, Stadt",57319,275.52,18400,67
739,010600005005,"Bad Segeberg, Stadt",23795,18.87,18399,975
740,081180019019,"Gerlingen, Stadt",70839,17.01,18392,1081
741,073340501501,"Wörth am Rhein, Stadt",76744,131.62,18387,140
742,100410515515,"Püttlingen, Stadt",66346,23.95,18361,767
743,095770177177,"Weißenburg i.Bay., GKSt",91781,97.58,18345,188
744,057580036036,"Vlotho, Stadt",32602,76.93,18335,238
745,053660004004,"Bad Münstereifel, Stadt",53902,150.83,18297,121
746,091720114114,"Bad Reichenhall, GKSt",83435,41.92,18288,436
747,145245104030,"Crimmitschau, Stadt",08451,61.14,18272,299
748,160610045045,"Heilbad Heiligenstadt, Stadt",37308,91.49,18230,199
749,082250014014,"Buchen (Odenwald), Stadt",74722,138.93,18226,131
750,146270060060,"Großenhain, Stadt",01558,130.36,18183,139
751,072355003068,"Konz, Stadt",54329,44.57,18121,407
752,092750154154,"Vilshofen an der Donau, St",94474,86.29,18084,210
753,096710111111,"Alzenau, St",63755,59.3,18034,304
754,032540002002,"Alfeld (Leine), Stadt",31061,72.88,17956,246
755,097720125125,"Bobingen, St",86399,50.26,17905,356
756,130760108108,"Parchim, Stadt",19370,124.81,17893,143
757,084375005100,"Bad Saulgau, Stadt",88348,97.34,17889,184
758,091850158158,"Schrobenhausen, St",86529,75.26,17815,237
759,064310005005,"Bürstadt, Stadt",68642,34.46,17804,517
760,100450111111,"Bexbach, Stadt",66450,31.09,17793,572
761,083375005096,"Bad Säckingen, Stadt",79713,25.35,17767,701
762,071370203203,"Bendorf, Stadt",56170,24.12,17726,735
763,064320002002,"Babenhausen, Stadt",64832,66.85,17695,265
764,065310014014,"Pohlheim, Stadt",35415,38,17677,465
765,066330026026,"Vellmar, Stadt",34246,13.97,17663,1264
766,091840119119,"Garching b.München, St",85748,28.17,17656,627
767,032510012012,"Diepholz, Stadt",49356,104.7,17648,169
768,095730122122,"Oberasbach, St",90522,12.09,17647,1460
769,083355006079,"Stockach, Stadt",78333,69.73,17646,253
770,066350011011,"Frankenberg (Eder), Philipp-Soldan-Stadt",35066,124.86,17635,141
771,091720118118,"Freilassing, St",83395,14.81,17619,1190
772,059620060060,"Werdohl, Stadt",58791,33.38,17618,528
773,071310070070,"Remagen, Stadt",53424,33.21,17603,530
774,034600002002,"Damme, Stadt",49401,104.39,17508,168
775,083275005049,"Trossingen, Stadt",78647,24.2,17489,723
776,093720116116,"Cham, St",93413,80.69,17433,216
777,055540016016,"Gescher, Glockenstadt",48712,80.84,17433,216
778,066350003003,"Bad Wildungen, Stadt",34537,120.1,17364,145
779,059700016016,"Freudenberg, Stadt",57258,54.6,17355,318
780,057660032032,"Horn-Bad Meinberg, Stadt",32805,90.15,17320,192
781,145230020020,"Auerbach/Vogtl., Stadt",08209,55.52,17314,312
782,010550012012,"Eutin, Stadt",23701,41.38,17275,417
783,032520002002,"Bad Münder am Deister, Stadt",31848,107.97,17261,160
784,071310077077,"Sinzig, Stadt",53489,41.1,17256,420
785,057740008008,"Bad Lippspringe, Stadt",33175,51.01,17252,338
786,057660056056,"Oerlinghausen, Stadt",33813,32.69,17233,527
787,120710076076,"Forst (Lausitz)/Baršć (Łužyca), Stadt",03149,110.69,17155,155
788,094790136136,"Marktredwitz, GKSt",95615,49.52,17121,346
789,092730137137,"Kelheim, St",93309,100.23,17066,170
790,064400016016,"Nidda, Stadt",63667,118.33,17060,144
791,120700424424,"Wittenberge, Stadt",19322,50.63,17058,337
792,064390003003,"Eltville am Rhein, Stadt",65343,46.77,17031,364
793,091900141141,"Penzberg, St",82377,25.73,17028,662
794,010530116116,"Schwarzenbek, Stadt",21493,11.65,16999,1459
795,066310015015,"Hünfeld, Konrad-Zuse-Stadt",36088,119.75,16955,142
796,097780116116,"Bad Wörishofen, St",86825,57.79,16933,293
797,146250250250,"Kamenz / Kamjenc, Stadt",01917,98.3,16918,172
798,084375006104,"Sigmaringen, Stadt",72488,92.84,16884,182
799,034560001001,"Bad Bentheim, Stadt",48455,99.99,16798,168
800,150850330330,"Thale, Stadt",06502,137.94,16788,122
801,081255003013,"Brackenheim, Stadt",74336,45.75,16774,367
802,160640003003,"Bad Langensalza, Stadt",99947,129.37,16717,129
803,146280160160,"Heidenau, Stadt",01809,11.07,16686,1507
804,064340005005,"Königstein im Taunus, Stadt",61462,25.05,16680,666
805,095770136136,"Gunzenhausen, St",91710,82.72,16665,201
806,064330007007,"Kelsterbach, Stadt",65451,15.41,16622,1079
807,059620004004,"Altena, Stadt",58762,44.42,16621,374
808,094760145145,"Kronach, St",96317,66.98,16616,248
809,032510007007,"Bassum, Stadt",27211,168.85,16604,98
810,084250141141,"Blaustein, Stadt",89134,55.61,16581,298
811,147300110110,"Eilenburg, Stadt",04838,46.85,16539,353
812,064320019019,"Reinheim, Stadt",64354,27.7,16503,596
813,010570062062,"Preetz, Stadt",24211,14.4,16503,1146
814,064330005005,"Ginsheim-Gustavsburg, Stadt",65462,13.94,16488,1183
815,083155002015,"Breisach am Rhein, Stadt",79206,54.59,16487,302
816,051540052052,"Straelen, Stadt",47638,74,16458,222
817,100420116116,"Wadern, Stadt",66687,111.22,16453,148
818,059620028028,"Kierspe, Stadt",58566,71.91,16450,229
