ID,Amtlicher Regionalschlüssel,Stadtname,Postleitzahl,Fläche,Bevölkerung,Bevölkerungsdichte
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
91,059620024024,"Iserlohn, Stadt",58636,125.49,91811,732
92,059540036036,"Witten, Stadt",58452,72.4,91808,1268
93,083265004074,"Villingen-Schwenningen, Stadt",78050,165.53,89756,542
94,051580028028,"Ratingen, Stadt",40878,88.74,89368,1007
95,065310005005,"Gießen, Universitätsstadt",35390,72.61,89179,1228
96,145240330330,"Zwickau, Stadt, Hochschulstadt",08056,102.58,87410,852
97,083355004043,"Konstanz, Universitätsstadt",78462,54.12,86919,1606
98,055620024024,"Marl, Stadt",45772,87.76,86766,989
99,073190000000,"Worms, Stadt",67547,108.73,86753,798
100,059780024024,"Lünen, Stadt",44532,59.39,86163,1451
101,057700024024,"Minden, Stadt",32423,101.12,84013,831
102,010600063063,"Norderstedt, Stadt",22846,58.1,82844,1426
103,051580032032,"Velbert, Stadt",42551,74.9,82463,1101
104,034010000000,"Delmenhorst, Stadt",27749,62.45,81406,1304
105,010040000000,"Neumünster, Stadt",24534,71.66,79809,1114
106,051660032032,"Viersen, Stadt",41747,91.1,78373,860
107,055660076076,"Rheine, Stadt",48431,145,77209,532
108,094610000000,Bamberg,96031,54.62,77150,1412
109,053820068068,"Troisdorf, Stadt",53840,62,75901,1224
110,034050000000,"Wilhelmshaven, Stadt",26382,107.11,75745,707
111,055620014014,"Gladbeck, Stadt",45964,35.97,75499,2099
112,150010000000,"Dessau-Roßlau, Stadt",06844,245.78,75402,307
113,055620012012,"Dorsten, Stadt",46284,171.2,75277,440
114,059580004004,"Arnsberg, Stadt",59759,193.72,74879,387
115,033550022022,"Lüneburg, Hansestadt",21335,70.5,74785,1061
